GlobalFacilityID,MonthYear,Capacity
8,2024-10-31,574.61
8,2024-11-30,492.9
8,2024-12-31,601.84
8,2025-01-31,519.69
8,2025-02-28,536.31
8,2025-03-31,529.72
8,2025-04-30,526.2
8,2025-05-31,558.29
8,2025-06-30,508.58
8,2025-07-31,493.25
8,2025-08-31,550.62
8,2025-09-30,508.18
8,2025-10-31,522.43
12,2024-10-31,1198.37
12,2024-11-30,1221.07
12,2024-12-31,1256.82
12,2025-01-31,1261.14
12,2025-02-28,1286.33
12,2025-03-31,1228.91
12,2025-04-30,1246.39
12,2025-05-31,1328.01
12,2025-06-30,1253.1
12,2025-07-31,1130.66
12,2025-08-31,1185.75
12,2025-09-30,1121.61
12,2025-10-31,1143.34
21,2024-10-31,1079.46
21,2024-11-30,1034.51
21,2024-12-31,1157.91
21,2025-01-31,1173.4
21,2025-02-28,1092.42
21,2025-03-31,1078.33
21,2025-04-30,1064.98
21,2025-05-31,994.61
21,2025-06-30,1089.61
21,2025-07-31,1106.74
21,2025-08-31,987.84
21,2025-09-30,987.43
21,2025-10-31,973.28
29,2024-10-31,1587.12
29,2024-11-30,1731.68
29,2024-12-31,1555.05
29,2025-01-31,1456.57
29,2025-02-28,1569.18
29,2025-03-31,1529.37
29,2025-04-30,1454.03
29,2025-05-31,1659.29
29,2025-06-30,1679.34
29,2025-07-31,1466.09
29,2025-08-31,1531.79
29,2025-09-30,1477.49
29,2025-10-31,1569.84
36,2024-10-31,580.27
36,2024-11-30,607.03
36,2024-12-31,577.52
36,2025-01-31,570.82
36,2025-02-28,564.39
36,2025-03-31,621.17
36,2025-04-30,549.83
36,2025-05-31,600.89
36,2025-06-30,614.1
36,2025-07-31,553.77
36,2025-08-31,544.7
36,2025-09-30,623.37
36,2025-10-31,539.85
41,2024-10-31,578.35
41,2024-11-30,588.77
41,2024-12-31,545.42
41,2025-01-31,571.01
41,2025-02-28,503.56
41,2025-03-31,557.93
41,2025-04-30,513.04
41,2025-05-31,516.78
41,2025-06-30,508.75
41,2025-07-31,576.74
41,2025-08-31,582.53
41,2025-09-30,514.71
41,2025-10-31,595.77
42,2024-10-31,3223.72
42,2024-11-30,3131.86
42,2024-12-31,2887.02
42,2025-01-31,3442.65
42,2025-02-28,3296.42
42,2025-03-31,3029.81
42,2025-04-30,2891.94
42,2025-05-31,2878.3
42,2025-06-30,3180.22
42,2025-07-31,3369.0
42,2025-08-31,3399.49
42,2025-09-30,3318.82
42,2025-10-31,3147.06
45,2024-10-31,891.78
45,2024-11-30,869.94
45,2024-12-31,846.03
45,2025-01-31,882.74
45,2025-02-28,768.54
45,2025-03-31,780.69
45,2025-04-30,908.98
45,2025-05-31,877.25
45,2025-06-30,784.83
45,2025-07-31,848.14
45,2025-08-31,894.92
45,2025-09-30,919.41
45,2025-10-31,841.8
50,2024-10-31,1610.8
50,2024-11-30,1784.85
50,2024-12-31,1761.34
50,2025-01-31,1766.51
50,2025-02-28,1726.82
50,2025-03-31,1758.64
50,2025-04-30,1611.65
50,2025-05-31,1805.79
50,2025-06-30,1887.38
50,2025-07-31,1623.79
50,2025-08-31,1560.84
50,2025-09-30,1848.99
50,2025-10-31,1666.51
74,2024-10-31,2015.43
74,2024-11-30,2113.58
74,2024-12-31,1867.22
74,2025-01-31,2184.7
74,2025-02-28,2081.82
74,2025-03-31,2094.69
74,2025-04-30,1977.81
74,2025-05-31,2017.84
74,2025-06-30,2162.5
74,2025-07-31,1878.79
74,2025-08-31,2189.4
74,2025-09-30,1861.3
74,2025-10-31,1899.1
80,2024-10-31,2124.46
80,2024-11-30,2305.49
80,2024-12-31,1949.81
80,2025-01-31,1979.97
80,2025-02-28,2021.57
80,2025-03-31,1930.58
80,2025-04-30,2173.9
80,2025-05-31,1955.07
80,2025-06-30,1970.87
80,2025-07-31,2119.31
80,2025-08-31,2332.79
80,2025-09-30,2026.16
80,2025-10-31,2048.41
90,2024-10-31,2084.84
90,2024-11-30,1974.84
90,2024-12-31,2342.11
90,2025-01-31,2362.54
90,2025-02-28,2161.12
90,2025-03-31,2366.57
90,2025-04-30,2356.44
90,2025-05-31,2057.39
90,2025-06-30,2224.11
90,2025-07-31,2254.36
90,2025-08-31,2251.25
90,2025-09-30,2215.46
90,2025-10-31,2125.69
182,2024-10-31,1164.44
182,2024-11-30,1177.52
182,2024-12-31,1220.88
182,2025-01-31,1121.62
182,2025-02-28,1201.02
182,2025-03-31,1234.87
182,2025-04-30,1182.54
182,2025-05-31,1201.36
182,2025-06-30,1132.81
182,2025-07-31,1245.27
182,2025-08-31,1280.11
182,2025-09-30,1206.27
182,2025-10-31,1269.61
183,2024-10-31,411.8
183,2024-11-30,466.98
183,2024-12-31,486.12
183,2025-01-31,438.65
183,2025-02-28,465.64
183,2025-03-31,477.51
183,2025-04-30,454.07
183,2025-05-31,473.33
183,2025-06-30,409.75
183,2025-07-31,438.1
183,2025-08-31,435.08
183,2025-09-30,479.42
183,2025-10-31,417.98
187,2024-10-31,1485.74
187,2024-11-30,1563.38
187,2024-12-31,1302.28
187,2025-01-31,1342.25
187,2025-02-28,1458.58
187,2025-03-31,1524.59
187,2025-04-30,1285.59
187,2025-05-31,1551.77
187,2025-06-30,1292.84
187,2025-07-31,1305.59
187,2025-08-31,1494.09
187,2025-09-30,1401.4
187,2025-10-31,1321.82
194,2024-10-31,3237.73
194,2024-11-30,3594.76
194,2024-12-31,3759.19
194,2025-01-31,3704.3
194,2025-02-28,3700.78
194,2025-03-31,3746.64
194,2025-04-30,3887.03
194,2025-05-31,3616.78
194,2025-06-30,3676.52
194,2025-07-31,3707.67
194,2025-08-31,3700.39
194,2025-09-30,3312.95
194,2025-10-31,3825.55
198,2024-10-31,2436.48
198,2024-11-30,2526.06
198,2024-12-31,2798.53
198,2025-01-31,2625.52
198,2025-02-28,2796.49
198,2025-03-31,2725.74
198,2025-04-30,2397.08
198,2025-05-31,2565.15
198,2025-06-30,2403.89
198,2025-07-31,2819.67
198,2025-08-31,2674.74
198,2025-09-30,2422.73
198,2025-10-31,2501.55
204,2024-10-31,816.97
204,2024-11-30,728.5
204,2024-12-31,811.19
204,2025-01-31,689.92
204,2025-02-28,760.9
204,2025-03-31,753.89
204,2025-04-30,773.22
204,2025-05-31,783.73
204,2025-06-30,677.92
204,2025-07-31,741.54
204,2025-08-31,729.65
204,2025-09-30,720.89
204,2025-10-31,804.39
213,2024-10-31,2910.65
213,2024-11-30,2870.23
213,2024-12-31,2648.75
213,2025-01-31,2440.6
213,2025-02-28,2531.57
213,2025-03-31,2625.38
213,2025-04-30,2498.27
213,2025-05-31,2878.85
213,2025-06-30,2885.9
213,2025-07-31,2869.09
213,2025-08-31,2587.51
213,2025-09-30,2786.17
213,2025-10-31,2723.78
245,2024-10-31,1866.77
245,2024-11-30,1842.14
245,2024-12-31,1866.03
245,2025-01-31,1851.7
245,2025-02-28,1653.55
245,2025-03-31,1745.08
245,2025-04-30,1562.7
245,2025-05-31,1869.31
245,2025-06-30,1567.95
245,2025-07-31,1864.34
245,2025-08-31,1883.14
245,2025-09-30,1545.59
245,2025-10-31,1683.99
249,2024-10-31,3252.9
249,2024-11-30,3434.44
249,2024-12-31,3492.63
249,2025-01-31,2968.31
249,2025-02-28,3389.26
249,2025-03-31,3214.48
249,2025-04-30,2968.36
249,2025-05-31,3378.95
249,2025-06-30,3216.36
249,2025-07-31,3148.02
249,2025-08-31,3195.7
249,2025-09-30,2908.75
249,2025-10-31,2983.32
346,2024-10-31,2321.05
346,2024-11-30,2588.34
346,2024-12-31,2498.78
346,2025-01-31,2526.44
346,2025-02-28,2673.2
346,2025-03-31,2389.9
346,2025-04-30,2487.87
346,2025-05-31,2320.45
346,2025-06-30,2584.57
346,2025-07-31,2496.02
346,2025-08-31,2624.24
346,2025-09-30,2289.24
346,2025-10-31,2306.28
692,2024-10-31,518.44
692,2024-11-30,564.95
692,2024-12-31,589.78
692,2025-01-31,570.83
692,2025-02-28,589.28
692,2025-03-31,537.93
692,2025-04-30,550.48
692,2025-05-31,593.75
