GlobalFacilityID,MonthYear,PatientVolume
120936,10/1/2019,250
1097,10/1/2019,4142
1422,10/1/2019,747
395470,10/1/2019,1692
4215,10/1/2019,1868
30588,10/1/2019,1611
490006,10/1/2019,32
29,10/1/2019,1790
475749,10/1/2019,2029
478082,10/1/2019,2147
487800,10/1/2019,980
4904,10/1/2019,891
4594,10/1/2019,312
6075,10/1/2019,2485
302425,10/1/2019,437
2494,10/1/2019,1266
489202,10/1/2019,1060
488637,10/1/2019,625
482995,10/1/2019,4531
1453,10/1/2019,724
3314,10/1/2019,2714
5719,10/1/2019,3077
6068,10/1/2019,2730
487747,10/1/2019,484
1502,10/1/2019,394
251935,10/1/2019,234
328376,10/1/2019,1935
74,10/1/2019,2229
2439,10/1/2019,1546
2492,10/1/2019,1536
1198,10/1/2019,1535
5433,10/1/2019,1618
475751,10/1/2019,5569
2572,10/1/2019,3191
461391,10/1/2019,1643
483412,10/1/2019,178
6702,10/1/2019,2164
36,10/1/2019,544
6132,10/1/2019,1404
72395,10/1/2019,1979
435704,10/1/2019,757
272550,10/1/2019,5564
6124,10/1/2019,1771
2364,10/1/2019,650
1491,10/1/2019,2440
6487,10/1/2019,1693
490140,10/1/2019,97
2541,10/1/2019,2828
4451,10/1/2019,2001
3333,10/1/2019,956
5483,10/1/2019,684
183,10/1/2019,370
5743,10/1/2019,531
2390,10/1/2019,605
458224,10/1/2019,334
50,10/1/2019,2352
3326,10/1/2019,1614
2491,10/1/2019,2009
2536,10/1/2019,3606
1676,10/1/2019,2263
8517,10/1/2019,5229
1463,10/1/2019,5197
5381,10/1/2019,2147
404452,10/1/2019,3523
9961,10/1/2019,3189
490124,10/1/2019,655
3580,10/1/2019,2310
2341,10/1/2019,536
5360,10/1/2019,617
281717,10/1/2019,1676
7560,10/1/2019,1175
323420,10/1/2019,4259
2361,10/1/2019,2563
3382,10/1/2019,1073
2562,10/1/2019,5803
99359,10/1/2019,6566
2513,10/1/2019,3037
9160,10/1/2019,935
59237,10/1/2019,2128
5568,10/1/2019,2071
416735,10/1/2019,2153
130573,10/1/2019,2060
5359,10/1/2019,1771
3458,10/1/2019,482
4218,10/1/2019,925
488636,10/1/2019,560
205052,10/1/2019,2957
2402,10/1/2019,2232
692,10/1/2019,527
7150,10/1/2019,1396
1406,10/1/2019,4631
10876,10/1/2019,2314
6182,10/1/2019,607
486844,10/1/2019,465
488772,10/1/2019,501
41,10/1/2019,666
484584,10/1/2019,2703
5813,10/1/2019,1903
2534,10/1/2019,3341
1246,10/1/2019,3674
2366,10/1/2019,788
1457,10/1/2019,2540
6149,10/1/2019,4025
5439,10/1/2019,1323
1890,10/1/2019,394
5572,10/1/2019,1559
476742,10/1/2019,1425
5539,10/1/2019,4214
7198,10/1/2019,2617
2515,10/1/2019,2678
364889,10/1/2019,138
182,10/1/2019,1275
374941,10/1/2019,2196
488693,10/1/2019,400
80,10/1/2019,2482
484365,10/1/2019,4
168435,10/1/2019,1435
475746,10/1/2019,670
489792,10/1/2019,46
2424,10/1/2019,1394
488614,10/1/2019,1381
4524,10/1/2019,597
2586,10/1/2019,2243
3434,10/1/2019,3728
5886,10/1/2019,2899
475748,10/1/2019,1076
2590,10/1/2019,4266
416680,10/1/2019,521
2423,10/1/2019,1546
486737,10/1/2019,1242
1499,10/1/2019,2641
1523,10/1/2019,2932
488739,10/1/2019,2428
5645,10/1/2019,2042
4525,10/1/2019,3356
3377,10/1/2019,1774
5187,10/1/2019,1067
1428,10/1/2019,1856
488496,10/1/2019,974
6513,10/1/2019,1043
2518,10/1/2019,2958
478085,10/1/2019,2509
1441,10/1/2019,2047
6108,10/1/2019,1165
4044,10/1/2019,412
21,10/1/2019,1155
6475,10/1/2019,336
227520,10/1/2019,1127
2569,10/1/2019,1468
3559,10/1/2019,767
5634,10/1/2019,4297
10267,10/1/2019,1497
5819,10/1/2019,2152
488965,10/1/2019,689
226558,10/1/2019,63
3035,10/1/2019,1348
3386,10/1/2019,833
1113,10/1/2019,2281
2392,10/1/2019,1020
2498,10/1/2019,1018
6289,10/1/2019,1364
483471,10/1/2019,2545
2464,10/1/2019,254
488546,10/1/2019,2809
1163,10/1/2019,3288
8407,10/1/2019,37
217368,10/1/2019,427
1820,10/1/2019,1977
487798,10/1/2019,1467
249,10/1/2019,3681
484546,10/1/2019,216
5377,10/1/2019,3270
475750,10/1/2019,1861
469600,10/1/2019,1575
2497,10/1/2019,647
11420,10/1/2019,4159
3652,10/1/2019,555
2451,10/1/2019,1851
200276,10/1/2019,548
475747,10/1/2019,5162
346,10/1/2019,2501
469582,10/1/2019,3896
484309,10/1/2019,1486
213,10/1/2019,2619
2609,10/1/2019,4517
187,10/1/2019,1586
45,10/1/2019,942
6114,10/1/2019,1413
3392,10/1/2019,5041
3407,10/1/2019,5229
487006,10/1/2019,2393
1648,10/1/2019,2154
298263,10/1/2019,80
351095,10/1/2019,1020
488639,10/1/2019,1561
2474,10/1/2019,4872
3665,10/1/2019,2523
3412,10/1/2019,962
12,10/1/2019,1274
245,10/1/2019,1881
42,10/1/2019,3103
9078,10/1/2019,2208
255703,10/1/2019,1332
458223,10/1/2019,154
489789,10/1/2019,295
2598,10/1/2019,1792
183768,10/1/2019,823
489108,10/1/2019,2136
480170,10/1/2019,588
1208,10/1/2019,3701
4135,10/1/2019,2419
2602,10/1/2019,3092
3657,10/1/2019,1857
483465,10/1/2019,80
488495,10/1/2019,838
2557,10/1/2019,1083
4502,10/1/2019,1173
2563,10/1/2019,4354
2461,10/1/2019,1784
6105,10/1/2019,1115
1240,10/1/2019,4356
2312,10/1/2019,951
485492,10/1/2019,799
8,10/1/2019,643
6295,10/1/2019,1382
5539,11/1/2019,4480
12,11/1/2019,1230
374941,11/1/2019,2212
488693,11/1/2019,414
1097,11/1/2019,4028
6124,11/1/2019,1678
5359,11/1/2019,1678
3458,11/1/2019,411
29,11/1/2019,1742
6487,11/1/2019,1614
3412,11/1/2019,952
2541,11/1/2019,2755
5743,11/1/2019,526
4451,11/1/2019,1945
2402,11/1/2019,2194
6702,11/1/2019,1995
2492,11/1/2019,1424
2390,11/1/2019,579
483412,11/1/2019,137
2497,11/1/2019,667
2572,11/1/2019,3261
5381,11/1/2019,2044
484584,11/1/2019,2502
475751,11/1/2019,5142
2515,11/1/2019,2718
490124,11/1/2019,700
9160,11/1/2019,933
6132,11/1/2019,1369
2341,11/1/2019,472
404452,11/1/2019,3297
346,11/1/2019,2551
6149,11/1/2019,3684
182,11/1/2019,1271
3382,11/1/2019,931
281717,11/1/2019,1325
59237,11/1/2019,2280
99359,11/1/2019,6196
1502,11/1/2019,342
5813,11/1/2019,2136
5568,11/1/2019,2146
74,11/1/2019,2412
364889,11/1/2019,165
3400,11/1/2019,1515
6068,11/1/2019,2535
488639,11/1/2019,1469
41,11/1/2019,671
2424,11/1/2019,1335
245,11/1/2019,1891
4215,11/1/2019,1809
2536,11/1/2019,3691
692,11/1/2019,547
488772,11/1/2019,438
7150,11/1/2019,1490
351095,11/1/2019,1126
487800,11/1/2019,938
328376,11/1/2019,2053
2451,11/1/2019,2000
458224,11/1/2019,381
486844,11/1/2019,397
